TITLE,cer
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,21/04/06
TIME,15:17:11
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.2
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   88.4787
LASTX, 1963.2787
NPOINTS,    9375
FIRSTY,    26.01411
MAXY,   546.00513
MINY,   -37.95501
XYDATA
88.4787,26.0141
88.6787,36.2511
88.8787,46.4057
89.0787,56.3956
89.2787,66.1385
89.4787,75.5521
89.6787,84.5539
89.8787,93.0618
90.0787,100.993
90.2787,108.266
90.4787,114.798
90.6787,120.506
90.8787,125.314
91.0787,129.146
91.2787,131.931
91.4787,133.595
91.6787,134.064
91.8787,133.265
92.0787,131.125
92.2787,127.57
92.4787,122.527
92.6787,115.924
92.8787,107.752
93.0787,98.2792
93.2787,87.8419
93.4787,76.7768
93.6787,65.4205
93.8787,54.1096
94.0787,43.1809
94.2787,32.971
94.4787,23.8165
94.6787,16.0541
94.8787,10.0099
95.0787,5.76036
95.2787,3.12702
95.4787,1.92017
95.6787,1.95002
95.8787,3.02678
96.0787,4.9607
96.2787,7.56198
96.4787,10.6409
96.6787,14.0075
96.8787,17.4722
97.0787,20.8947
97.2787,24.3348
97.4787,27.903
97.6787,31.7099
97.8787,35.8659
98.0787,40.4816
98.2787,45.6675
98.4787,51.5341
98.6787,58.1919
98.8787,65.7514
99.0787,74.3253
99.2787,84.0757
99.4787,95.2137
99.6787,107.952
99.8787,122.505
100.0787,139.085
100.2787,157.905
100.4787,179.179
100.6787,203.12
100.8787,229.94
101.0787,259.854
101.2787,292.835
101.4787,327.934
101.6787,363.981
101.8787,399.804
102.0787,434.233
102.2787,466.096
102.4787,494.223
102.6787,517.442
102.8787,534.584
103.0787,544.475
103.2787,546.005
103.4787,539.259
103.6787,525.448
103.8787,505.825
104.0787,481.645
104.2787,454.159
104.4787,424.623
104.6787,394.289
104.8787,364.412
105.0787,336.244
105.2787,311.04
105.4787,289.69
105.6787,271.793
105.8787,256.665
106.0787,243.62
106.2787,231.973
106.4787,221.039
106.6787,210.132
106.8787,198.566
107.0787,185.658
107.2787,170.72
107.4787,153.112
107.6787,132.947
107.8787,110.99
108.0787,88.0274
108.2787,64.8443
108.4787,42.2265
108.6787,20.9597
108.8787,1.82973
109.0787,-14.3778
109.2787,-26.8772
109.4787,-34.8829
109.6787,-37.955
109.8787,-36.7424
110.0787,-32.1078
110.2787,-24.9141
110.4787,-16.0238
110.6787,-6.29988
110.8787,3.39506
111.0787,12.1983
111.2787,19.2469
111.4787,23.6784
111.6787,24.7015
111.8787,22.5781
112.0787,18.3707
112.2787,13.1619
112.4787,8.03429
112.6787,4.07044
112.8787,2.35296
113.0787,3.9644
113.2787,9.98738
113.4787,21.5045
113.6787,39.5972
113.8787,64.7215
114.0787,95.6387
114.2787,130.826
114.4787,168.762
114.6787,207.924
114.8787,246.789
115.0787,283.834
115.2787,317.538
115.4787,346.378
115.6787,368.832
115.8787,383.494
116.0787,390.344
116.2787,390.268
116.4787,384.164
116.6787,372.933
116.8787,357.475
117.0787,338.69
117.2787,317.476
117.4787,294.735
117.6787,271.366
117.8787,248.268
118.0787,226.086
118.2787,204.893
118.4787,184.681
118.6787,165.446
118.8787,147.18
119.0787,129.878
