,Peak 1 (imag fit),Peak 1 (real fit)
del_eps,155826.59512519222,191631.39181313568
tau_HN (s),5.817401898399179e-06,7.296780719533e-06
a,1.0,1.0
b,0.9999999999999999,1.0
eps_inf,10000.0,100.0
sig [S/cm],0.008026367579435955,0.008026367579435955
A,10000000.0,622289428.7747113
n,0.453203810702142,0.453203810702142
n2,0.5,1.077329774274462
chi-square,44.31291984364099,0.48226069725814225
least-sq error,0.13046432561982363,0.34741601041786246
