,Peak 1 (imag fit),Peak 1 (real fit)
del_eps,174328.4248041902,179435.131526317
tau_HN (s),6.111799247913454e-06,7.56817747656169e-06
a,1.0,1.0
b,0.9999999999999999,1.0
eps_inf,10000.0,100.0
sig [S/cm],0.0005915336317485785,0.0005915336317485785
A,10000000.0,726415562.8520495
n,0.560682111252305,0.560682111252305
n2,0.5,1.1903027107622872
chi-square,2.1419908870789977,0.5283873068376568
least-sq error,0.15633582157794618,0.3609594299883508
