,Imag der fit,log freq [Hz],log eps real (raw),log freq [Hz],log eps real (fit),log freq [Hz],log eps real peak 1,log freq [Hz],polarization term,log freq [Hz],log eps imag der (raw),log freq [Hz],log eps imag (fit),log freq [Hz],log eps imag der peak 1,log freq [Hz],sigma term, ,Real fit,log freq [Hz],log eps real (fit),log freq [Hz],log eps real peak {0}.format(i+1),log freq [Hz],polarization term,log freq [Hz],log eps imag (fit),log freq [Hz],log eps imag der peak 1,log freq [Hz],sigma term
0,,6.415487515410297,,5.100336075933696,28256.208500014116,2.4370910633347087,5.192598153982814,5.100336075933696,-2.7687108584256754,6.415487515410297,,5.100336075933696,43678.78789517459,2.4370910633347087,3.192598153982814,5.100336075933696,4.055573624429185,,,5.100336075933696,5951.320006196268,1.838688836468803,5.282462310955653,5.100336075933696,2.4393455725930533,5.100336075933696,43575.37412789025,2.338688836468803,3.2824232266018947,5.100336075933696,4.055573624429185
1,,6.269358812376749,,5.072291303134544,29543.11956462413,2.477495103738749,5.192589273485762,5.072291303134544,-2.756000860522824,6.269358812376749,,5.072291303134544,45959.17059005526,2.477495103738749,3.2329933138898017,5.072291303134544,4.068283622332037,,,5.072291303134544,6714.5414790715395,1.8891938869738536,5.282461173738521,5.072291303134544,2.4695590413423427,5.072291303134544,45924.23372278457,2.379092876872843,3.322818386508882,5.072291303134544,4.068283622332037
2,,6.12323077669851,,5.044246530335392,30955.020704621653,2.5178991441427896,5.1925785771367075,5.044246530335392,-2.7432908626199723,6.12323077669851,,5.044246530335392,48337.09919482518,2.5178991441427896,3.273386657944788,5.044246530335392,4.080993620234888,,,5.044246530335392,7574.48503119689,1.939698937478904,5.282459738737504,5.044246530335392,2.4997725100916317,5.044246530335392,48389.35572779514,2.419496917276884,3.3632117305638687,5.044246530335392,4.080993620234888
3,,5.977103722032225,,5.01620175753624,32504.208844860557,2.55830318454683,5.192565693696158,5.01620175753624,-2.730580864717121,5.977103722032225,,5.01620175753624,50810.905773291306,2.55830318454683,3.3137778149082786,5.01620175753624,4.093703618137739,,,5.01620175753624,8542.397500627969,1.9902039879839546,5.282457927978361,5.01620175753624,2.529985978840921,5.01620175753624,50972.66761477754,2.459900957680924,3.4036028875273594,5.01620175753624,4.093703618137739
4,,5.830975961036937,,4.9881569847370875,34203.71366657465,2.5987072249508705,5.1925501760538095,4.9881569847370875,-2.7178708668142693,5.830975961036937,,4.9881569847370875,53377.53465079169,2.5987072249508705,3.354166337669971,4.9881569847370875,4.106413616040591,,,4.9881569847370875,9630.538190487088,2.040709038489005,5.282455643070246,4.9881569847370875,2.56019944759021,4.9881569847370875,53675.22918085653,2.5003049980849648,3.4439914102890516,4.9881569847370875,4.106413616040591
5,,5.684848053544015,,4.960112211937935,36067.19120271476,2.6391112653549107,5.192531485734767,4.960112211937935,-2.7051608689114177,5.684848053544015,,4.960112211937935,56032.30650104633,2.6391112653549107,3.3945516877549684,4.960112211937935,4.119123613943442,,,4.960112211937935,10852.185727941514,2.0912140889940556,5.282452759860369,4.960112211937935,2.5904129163394995,4.960112211937935,56497.02519488112,2.540709038489005,3.484376760374049,4.960112211937935,4.119123613943442
6,,5.538719479487192,,4.932067439138782,38108.76712044295,2.679515305758951,5.192508974247177,4.932067439138782,-2.6924508710085657,5.538719479487192,,4.932067439138782,58768.672116799775,2.679515305758951,3.4349332166714195,4.932067439138782,4.131833611846295,,,4.932067439138782,12221.616973676031,2.141719139499106,5.2824491216894565,4.932067439138782,2.6206263850887894,4.932067439138782,59436.73182163492,2.581113078893045,3.5247582892905003,4.932067439138782,4.131833611846295
7,,5.392591443808953,,4.90402266633963,40342.82091678196,2.7199193461629916,5.192481860629808,4.90402266633963,-2.679740873105714,5.392591443808953,,4.90402266633963,61577.96437981105,2.7199193461629916,3.4753101434580906,4.90402266633963,4.144543609749146,,,4.90402266633963,13754.04956123022,2.1922241900041564,5.282444530881942,4.90402266633963,2.650839853838079,4.90402266633963,62491.45792836977,2.621517119297086,3.5651352160771714,4.90402266633963,4.144543609749146
8,,5.246464111611934,,4.875977893540478,42783.70291716225,2.760323386567032,5.192449204428933,4.875977893540478,-2.6670308752028626,5.246464111611934,,4.875977893540478,64449.160261936035,2.760323386567032,3.515681527661256,4.875977893540478,4.157253607651998,,,4.875977893540478,15465.538519796874,2.242729240509207,5.282438738009133,4.875977893540478,2.681053322587368,4.875977893540478,65656.4642666201,2.661921159701126,3.6055066002803366,4.875977893540478,4.157253607651998
9,,5.100336075933696,3.5075131563884647,4.847933120741326,45445.377639054095,2.8007274269710725,5.192409873179227,4.847933120741326,-2.654320877300011,5.100336075933696,3.5075131563884647,4.847933120741326,67368.66836681955,2.8007274269710725,3.55604623681559,4.847933120741326,4.169963605554849,,,4.847933120741326,17372.816556921734,2.2932342910142576,5.2824314283429725,4.847933120741326,2.7112667913366573,4.847933120741326,68924.86601272984,2.7023252001051667,3.645871309434671,4.847933120741326,4.169963605554849
