Wavenumber (cm-1),Intensity (a.u.)
733.7924613226453,0.005723125115425636
733.9365068136273,0.005992742015476943
734.0805523046092,0.00632555453050841
734.2245977955912,0.006734466653066491
734.3686432865732,0.007234538107537577
734.5126887775551,0.007843232733506077
734.6567342685371,0.008580670519702335
734.8007797595191,0.009469876946318168
734.944825250501,0.010537021854586145
735.088870741483,0.011811638577353194
735.232916232465,0.013326812585598133
735.3769617234469,0.015119327498072077
735.5210072144289,0.017229755040451277
735.6650527054109,0.019702474512492442
735.8090981963928,0.022585606620250543
735.9531436873748,0.02593084625349921
736.0971891783568,0.02979317903446204
736.2412346693387,0.03423046732652753
736.3852801603207,0.03930289295407187
736.5293256513025,0.04507224621342841
736.6733711422845,0.051601053893773965
736.8174166332665,0.05895154298863099
736.9614621242484,0.06718444154199518
737.1055076152304,0.07635762357416945
737.2495531062124,0.08652461116423346
737.3935985971943,0.0977329533744275
737.5376440881763,0.11002250858693513
737.6816895791583,0.12342366374287245
737.8257350701402,0.13795553064700397
737.9697805611222,0.15362416562173803
738.1138260521042,0.17042086403541315
738.2578715430861,0.18832058526504963
738.4019170340681,0.20728056616800744
738.5459625250501,0.22723918184621014
738.690008016032,0.24811511115477727
738.834053507014,0.2698068608634735
738.978098997996,0.29219269653475827
739.1221444889779,0.31513102004081084
739.2661899799599,0.3384612233112783
739.4102354709419,0.3620050355990221
739.5542809619238,0.385568367595217
739.6983264529058,0.40894364054070903
739.8423719438878,0.43191257257860344
739.9864174348697,0.45424937855466224
740.1304629258517,0.47572432392515607
740.2745084168337,0.49610755902382936
740.4185539078156,0.5151731473076339
740.5625993987976,0.5327031909399984
740.7066448897796,0.5484919497030256
740.8506903807615,0.5623498451769265
740.9947358717435,0.5741072416807479
741.1387813627255,0.5836178987819043
741.2828268537074,0.5907619972441298
741.4268723446894,0.595448650922493
741.5709178356714,0.5976178309994397
741.7149633266533,0.597241645609863
741.8590088176353,0.594324936721272
742.0030543086173,0.588905176412235
742.1470997995992,0.5810516656552567
742.2911452905812,0.5708640595537915
742.4351907815632,0.5584702629075331
742.5792362725451,0.5440237582287658
742.7232817635271,0.5277004442269176
742.8673272545091,0.5096950757488565
743.0113727454909,0.49021740577301065
743.155418236473,0.46948813602131406
743.2994637274548,0.4477347849512979
743.4435092184368,0.4251875803577086
743.5875547094188,0.4020754787463104
743.7316002004007,0.37862240537063097
743.8756456913827,0.35504379780441436
744.0196911823647,0.3315435227013908
744.1637366733466,0.3083112205825587
744.3077821643286,0.2855201177321118
744.4518276553106,0.26332532822132687
744.5958731462925,0.24186265333189438
744.7399186372745,0.22124787077889113
744.8839641282565,0.2015764926255127
745.0280096192384,0.18292395903109834
745.1720551102204,0.16534622527208467
745.3161006012024,0.14888069200571227
745.4601460921843,0.1335474235849777
745.6041915831663,0.11935059635599823
745.7482370741483,0.10628011816066005
745.8922825651302,0.09431336153654654
746.0363280561122,0.08341695610065139
746.1803735470942,0.07354859002828343
746.3244190380761,0.06465877607364656
746.4684645290581,0.056692543895346253
746.6125100200401,0.049591027227264585
746.756555511022,0.043292921372075355
746.900601002004,0.03773579332156069
747.044646492986,0.03285723329432767
747.1886919839679,0.028595842441060393
747.3327374749499,0.024892056759926118
747.4767829659319,0.021688811796048462
747.6208284569138,0.0189320564185368
747.7648739478958,0.016571126865340888
747.9089194388778,0.014558994343180153
748.0529649298597,0.01285240081783697
748.1970104208417,0.011411898301397865
748.3410559118237,0.010201807024574273
748.4851014028056,0.009190107469690236
748.6291468937876,0.00834828043204971
748.7731923847696,0.007651108171303574
748.9172378757515,0.007076448401731045
749.0612833667335,0.006604991434204325
749.2053288577155,0.006220009295747953
749.3493743486974,0.005907104176164055
