Wavenumbers (cm^-1),Intensity (a.u.) data,Intensity (a.u.) fit
739.0787,0.499223788330107,0.5002539001248798
739.2787,0.49582693111829107,0.4978264531376688
739.4787,0.49881755599103317,0.500639131812701
739.6787,0.507216335108903,0.5083382962090203
739.8787,0.5198154970188108,0.5201632725554474
740.0787,0.5354082635007693,0.5350670642981438
740.2787,0.552787856334791,0.5518419391566642
740.4787,0.5707465040677863,0.5692356517157346
740.6787,0.5880774284797673,0.5860496476785955
740.8787,0.6035728581176445,0.6012159735433784
741.0787,0.6160270079945332,0.6138537660196647
741.2787,0.6243075923731616,0.623308587319137
741.4787,0.6283152879432427,0.6291784175254415
741.6787,0.6287016556202591,0.631329063536756
741.8787,0.6261341480493399,0.6298995817307488
742.0787,0.6212812111087163,0.6252956974061521
742.2787,0.6148112906766202,0.6181669341711861
742.4787,0.6073898529319744,0.6093621181664399
742.6787,0.5996873302192165,0.5998589205053253
742.8787,0.5923701819503722,0.5906666787508789
743.0787,0.58610586077057,0.5827078216475327
743.2787,0.5813830373664226,0.5766908633491107
743.4787,0.5780209433132072,0.5729952518479693
743.6787,0.575688831987668,0.5715928299345157
743.8787,0.5740569499996524,0.5720298242564164
744.0787,0.5727925642596986,0.5734856350717982
744.2787,0.5715639349114483,0.5749106240751065
744.4787,0.5700413085647483,0.5752271986338108
744.6787,0.5678919521301374,0.5735612264649316
744.8787,0.5647851189843596,0.5694592970602694
745.0787,0.5604109203993194,0.5630456661453579
745.2787,0.5551050691637871,0.55508239958122
745.4787,0.5499690607888456,0.5469154467305616
745.6787,0.5461451133427956,0.5403133199681335
745.8787,0.5447784245932462,0.5372274265859732
746.0787,0.5470112126084983,0.5395181009874944
746.2787,0.553989668389264,0.5486945742625671
746.4787,0.5668560100038439,0.5657103436774716
746.6787,0.5867534487536414,0.5908405735860502
746.8787,0.6148271824062661,0.6236500044953435
747.0787,0.6518380275185164,0.6630432470924029
747.2787,0.6961292712748048,0.7073778466860327
747.4787,0.7450966564794058,0.7546155673056419
747.6787,0.7961389056359025,0.802488349867576
747.8787,0.8466448089168496,0.8486603559843402
748.0787,0.8940120955927267,0.8908739954752338
748.2787,0.9356285626029858,0.9270738152708969
748.4787,0.9689018715491358,0.9555064110635048
748.6787,0.9912297517016565,0.9747968256962793
748.8787,1.0,0.9840026006458693
749.0787,0.994179654017181,0.9826464358982409
749.2787,0.9755763980004231,0.9707279576258347
749.4787,0.946335615451926,0.948714843804735
749.6787,0.9085927575428605,0.9175136938438571
749.8787,0.8644733431133687,0.8784215080245228
750.0787,0.8161227556656498,0.833059310853136
750.2787,0.7656843922356982,0.783290148167135
750.4787,0.7152887378291698,0.7311243187790044
750.6787,0.6670742233165443,0.678615270811346
750.8787,0.6230531389642365,0.627750178378914
751.0787,0.5838452622284377,0.5803399121687735
751.2787,0.5492022848334299,0.537913971408564
751.4787,0.5188639797062613,0.5016268831397039
751.6787,0.492569126540877,0.4721833800452532
751.8787,0.4700565050312223,0.44978999506314193
752.0787,0.45106688133744793,0.4341401598049479
752.2787,0.4353370486872935,0.424438126876054
752.4787,0.4226067800078069,0.41946391126337784
752.6787,0.412615848226036,0.4176771250590276
752.8787,0.4049749059656559,0.41735257355828337
753.0787,0.39891618403814805,0.4167355992946642
753.2787,0.3936004004715871,0.41420136691504117
753.4787,0.3881882732940476,0.4084004749282002
753.6787,0.3818415137667074,0.3983740609023842
753.8787,0.3737208399176411,0.3836250516362818
754.0787,0.36298796300802627,0.36413795504427277
754.2787,0.34880260783283495,0.34034665247988005
754.4787,0.33032747888634734,0.3130567791222553
754.6787,0.3067719626186789,0.2833351965868101
754.8787,0.2783843673055473,0.2523827449401357
755.0787,0.24639530876140847,0.2214073691686382
755.2787,0.2120751321248335,0.191512884052111
755.4787,0.17669120283508455,0.16361464031813167
755.6787,0.14151485926383545,0.13838811817031052
755.8787,0.10781247361724568,0.11625106424976173
756.0787,0.07685637750009186,0.09737515572362354
756.2787,0.04991393635163631,0.08171997748805654
756.4787,0.02825450207734703,0.0690806102826374
756.6787,0.012894152141460244,0.059140253955563375
756.8787,0.003653111352356386,0.05152067870742811
757.0787,0.0,0.045825392108565004
757.2787,0.0014054248405612623,0.04167270776105514
757.4787,0.0073360196977989124,0.0387179770148296
757.6787,0.017261398094780257,0.03666582771322659
757.8787,0.030650180321469846,0.035274237543389333
758.0787,0.046970986667832046,0.03435268478105097
758.2787,0.06569243742383143,0.03375658531988752
758.4787,0.08628017318012382,0.03337989875285293
758.6787,0.10803297136608289,0.03314732047577421
758.8787,0.1300161996319078,0.03300699281372778
