,Rs [Ω],Rct1 [Ω],n1,Q1 [F],Rct2 [Ω],n2,Q2 [F],Chi-square
Values,343.6236508661048,1453.8690481671947,0.6435242309976265,2.110322019883273e-05,6001.338092140636,0.9078146960542137,3.522835966792024e-06,0.00944316626651543
Errors,5.776277448909016,805.0965197318039,0.016507989869331514,2.015742239269636e-06,753.0019333656356,0.018716469432937755,1.963761743642548e-07,0.00944316626651543
% Errors,1.6809894878742733,55.37613726261941,2.5652475966196215,9.55182299325641,12.547233996894267,2.061705931209118,5.574377467909172,0.00944316626651543
