,Rs [Ω],Rct1 [Ω],n1,Q1 [F],Rct2 [Ω],n2,Q2 [F],Chi-square
Values,263.381179685484,2974.8573225616983,0.9437469486943986,3.920445678758146e-06,4434.394604467539,0.7662074226653629,3.4196942396145732e-06,0.0004725861141045488
Errors,3.6463073283475866,1076.629972590608,0.03939303903978466,8.631155787060534e-07,1094.6475831586888,0.006440091985025743,5.086891056366749e-07,0.0004725861141045488
% Errors,1.3844221264031908,36.190978452153274,4.174110347512318,22.015751509646144,24.685389569432083,0.8405154785140235,14.875280361147384,0.0004725861141045488
