Potential (V)	Current (A)	Elapsed Time (s)	Zre (ohms)	Zim (ohms)	
-0.0101210698485374	-2.52909990194894E-06	1800.0012	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0013	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0014	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0015	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0016	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0017	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0018	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0019	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.002	0	0	
-0.00981436483561993	-2.52848599302524E-06	1800.0021	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0022	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0023	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0024	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0025	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0026	0	0	
-0.00981436483561993	-2.52787299359625E-06	1800.0027	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0028	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0029	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.003	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0031	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0032	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0033	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0034	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0035	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0036	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0037	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0038	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0039	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.004	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0041	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0042	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0043	0	0	
-0.00981436483561993	-2.52664608524356E-06	1800.0044	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0045	0	0	
-0.00981436483561993	-2.52664608524356E-06	1800.0046	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0047	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0048	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0049	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.005	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0051	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0052	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0053	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0054	0	0	
-0.00981436483561993	-2.52664608524356E-06	1800.0055	0	0	
-0.00981436483561993	-2.52603308581456E-06	1800.0056	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0057	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0058	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0059	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.006	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0061	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0062	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0063	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0064	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0065	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0066	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0067	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0068	0	0	
-0.00981436483561993	-2.52664608524356E-06	1800.0069	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.007	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0071	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0072	0	0	
-0.00981436483561993	-2.52664608524356E-06	1800.0073	0	0	
