,Rs [Ω],Rct1 [Ω],n1,Q1 [F],Chi-square
Values,446.4138481312282,7393.365159078157,0.84620064701484,3.389818634923776e-06,0.0937508965450336
Errors,11.095659159272188,35.61145426626517,0.004421764355363029,7.014256307092213e-08,0.0937508965450336
% Errors,2.485509624246804,0.4816677318113879,0.5225432491645783,2.0692128584188803,0.0937508965450336
